open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume,buy_volume,sell_volume,delta,min_delta,max_delta,bid_trades,ask_trades,imbalance_ratio,session_delta,session_volume,cvd,volume_per_second,typical_price,vwap,poc_price,stacked_imbalance_up,stacked_imbalance_dn
2026-04-04 22:55:00+00:00,2069.43,2069.44,2068.82,2069.14,72.272,2026-04-04 22:59:59.999000+00:00,149539.341804,2447,25.0659,51864.203781,25.0659,47.206100000000006,-22.140200000000007,-22.140200000000007,-22.140200000000007,0,2447,0.3468272636657789,-22.140200000000007,72.272,-22.140200000000007,0.24090666666666669,2069.133333333333,2069.133333333333,2069.14,False,False
2026-04-04 23:00:00+00:00,2069.14,2069.24,2066.8,2067.26,299.7075,2026-04-04 23:04:59.999000+00:00,619676.84394,6630,117.679,243275.495951,117.679,182.02849999999998,-64.34949999999998,-64.34949999999998,-64.34949999999998,0,6630,0.39264616334128233,-86.48969999999998,371.9795,-86.48969999999998,0.9990249999999999,2067.766666666667,2068.0321967115574,2067.26,False,False
2026-04-04 23:05:00+00:00,2067.25,2067.96,2065.83,2067.87,255.4525,2026-04-04 23:09:59.999000+00:00,527935.466304,6339,143.5874,296736.544539,143.5874,111.86509999999998,31.72230000000002,31.72230000000002,31.72230000000002,0,6339,0.5620904081950183,-54.76739999999997,627.432,-54.76739999999997,0.8515083333333333,2067.22,2067.701519155329,2067.26,False,False
2026-04-04 23:10:00+00:00,2067.87,2067.87,2066.11,2066.24,82.1732,2026-04-04 23:14:59.999000+00:00,169818.441718,1793,27.4049,56626.804466,27.4049,54.768299999999996,-27.363399999999995,-27.363399999999995,-27.363399999999995,0,1793,0.33350167694170973,-82.13079999999997,709.6052,-82.13079999999997,0.27391066666666664,2066.74,2067.5901739934634,2067.26,False,False
2026-04-04 23:15:00+00:00,2066.23,2066.24,2065.41,2065.82,90.0311,2026-04-04 23:19:59.999000+00:00,185980.057657,2917,52.8106,109091.417205,52.8106,37.220499999999994,15.590100000000007,15.590100000000007,15.590100000000007,0,2917,0.5865817478561677,-66.54069999999996,799.6362999999999,-66.54069999999996,0.30010366666666666,2065.8233333333333,2067.391245295309,2067.26,False,False
2026-04-04 23:20:00+00:00,2065.83,2065.83,2065.38,2065.38,73.2024,2026-04-04 23:24:59.999000+00:00,151208.998977,1368,18.0086,37198.929608,18.0086,55.193799999999996,-37.185199999999995,-37.185199999999995,-37.185199999999995,0,1368,0.2460110597433143,-103.72589999999995,872.8386999999999,-103.72589999999995,0.244008,2065.53,2067.2351481577675,2067.26,False,False
2026-04-04 23:25:00+00:00,2065.38,2065.38,2064.25,2064.26,308.164,2026-04-04 23:29:59.999000+00:00,636259.587263,2358,57.3593,118435.784247,57.3593,250.8047,-193.4454,-193.4454,-193.4454,0,2358,0.1861323840546393,-297.1713,1181.0027,-297.1713,1.0272133333333333,2064.63,2066.555375895697,2064.26,False,False
2026-04-04 23:30:00+00:00,2064.26,2064.84,2064.25,2064.29,70.7196,2026-04-04 23:34:59.999000+00:00,146001.283755,1865,27.4725,56714.788749,27.4725,43.2471,-15.774600000000003,-15.774600000000003,-15.774600000000003,0,1865,0.3884708058248566,-312.9459,1251.7223,-312.9459,0.235732,2064.46,2066.436991694031,2064.26,False,False
2026-04-04 23:35:00+00:00,2064.29,2064.29,2063.31,2063.4,118.7972,2026-04-04 23:39:59.999000+00:00,245158.249009,1573,20.2115,41713.080179,20.2115,98.5857,-78.3742,-78.3742,-78.3742,0,1573,0.17013448128263853,-391.32009999999997,1370.5194999999999,-391.3201,0.39599066666666666,2063.6666666666665,2066.1968587690044,2064.26,False,False
2026-04-04 23:40:00+00:00,2063.4,2064.0,2062.84,2064.0,219.6008,2026-04-04 23:44:59.999000+00:00,453054.859329,3202,163.119,336531.734781,163.119,56.48179999999999,106.6372,106.6372,106.6372,0,3202,0.7427978404416433,-284.68289999999996,1590.1203,-284.6829,0.7320026666666667,2063.6133333333332,2065.8400654795323,2064.26,False,False
