Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,direction
0,0,0.2782926191231556,2025-05-06 22:15:00+00:00,1797.029334,0.30006,2025-05-06 23:20:00+00:00,1815.2,0.30309405733941125,4.4536081750126595,0.008905435262972723,Long,Closed,0,LONG
1,0,0.25788349855069476,2025-05-08 07:30:00+00:00,1939.247772,0.30006,2025-05-08 07:35:00+00:00,1927.6,0.2982577390837915,-3.602085932764647,-0.007202731319265441,Long,Closed,1,LONG
2,0,0.25041945258307663,2025-05-08 14:45:00+00:00,1997.04933,0.30005999999999994,2025-05-08 15:20:00+00:00,2021.52,0.3037367590714446,5.524135026669667,0.0110460608411711,Long,Closed,2,LONG
3,0,0.23873413611665503,2025-05-08 19:45:00+00:00,2094.798876,0.30005999999999994,2025-05-08 19:50:00+00:00,2132.7,0.30548897525759405,8.44274312073264,0.016882109819501383,Long,Closed,3,LONG
4,0,0.21888639358400203,2025-05-09 07:00:00+00:00,2284.746858,0.30005999999999994,2025-05-09 07:20:00+00:00,2306.47,0.3029129401258158,4.151927269567303,0.008302194100314544,Long,Closed,4,LONG
5,0,0.20952061682869594,2025-05-09 07:45:00+00:00,2386.87728,0.30006,2025-05-09 07:50:00+00:00,2370.62,0.2980162587998659,-4.0043115923567445,-0.008007021780357417,Long,Closed,5,LONG
6,0,0.20596389041073318,2025-05-09 08:25:00+00:00,2428.095522,0.30005999999999994,2025-05-09 08:30:00+00:00,2470.72,0.30532746198936395,8.173715853617312,0.01634416287465969,Long,Closed,6,LONG
7,0,0.21249468763280918,2025-05-10 00:05:00+00:00,2353.4706,0.30006,2025-05-10 00:45:00+00:00,2334.37,0.2976247343816404,-4.656460764980931,-0.009311059318098242,Long,Closed,7,LONG
8,0,0.21278316119175594,2025-05-10 05:50:00+00:00,2350.279962,0.30006,2025-05-10 06:15:00+00:00,2372.8,0.3029351309254791,4.188889744873051,0.008376104268892322,Long,Closed,8,LONG
9,0,0.2086558805486815,2025-05-10 07:50:00+00:00,2396.769258,0.30005999999999994,2025-05-10 08:35:00+00:00,2419.11,0.30285691631647255,4.05861027780452,0.008115597436121816,Long,Closed,9,LONG
10,0,0.1999568093291849,2025-05-10 17:30:00+00:00,2501.0401079999997,0.30005999999999994,2025-05-10 17:45:00+00:00,2462.66,0.29545538163756624,-8.269879319027067,-0.01653645134778458,Long,Closed,10,LONG
11,0,0.19491125690473127,2025-05-10 22:35:00+00:00,2565.783054,0.30005999999999994,2025-05-10 23:20:00+00:00,2594.99,0.3034756575331251,5.0892268976754345,0.010176418511648539,Long,Closed,11,LONG
12,0,0.19747937327946097,2025-05-12 00:25:00+00:00,2532.416382,0.30006,2025-05-12 01:25:00+00:00,2518.27,0.2983838288090809,-3.392062480340939,-0.006782768407000478,Long,Closed,12,LONG
13,0,0.19524462198688738,2025-05-12 07:00:00+00:00,2561.402178,0.30006,2025-05-12 07:25:00+00:00,2598.74,0.30443400536532217,6.6855149368383335,0.013368356202436179,Long,Closed,13,LONG
14,0,0.19651847863254582,2025-05-13 13:15:00+00:00,2544.798858,0.30006,2025-05-13 15:35:00+00:00,2568.91,0.30290297096635993,4.135321972966891,0.008268990147904201,Long,Closed,14,LONG
15,0,0.18809720863742382,2025-05-13 18:50:00+00:00,2658.73164,0.30006,2025-05-13 19:15:00+00:00,2686.59,0.3032040478519299,4.636815705364562,0.00927177705531806,Long,Closed,15,LONG
16,0,0.18591853049993493,2025-05-13 19:20:00+00:00,2689.88787,0.30006,2025-05-13 19:40:00+00:00,2713.61,0.30270623012995707,3.807617319798483,0.007613711897217522,Long,Closed,16,LONG
17,0,0.18301677531762564,2025-05-13 19:45:00+00:00,2732.5363979999997,0.30006,2025-05-13 19:50:00+00:00,2692.71,0.2956866606393142,-7.884645595115579,-0.015766137962638628,Long,Closed,17,LONG
18,0,0.18669604017698785,2025-05-13 23:05:00+00:00,2678.68563,0.30006,2025-05-14 01:00:00+00:00,2703.51,0.30284076694733303,4.031710811941106,0.008061809262029805,Long,Closed,18,LONG
19,0,0.19202924989534406,2025-05-14 23:40:00+00:00,2604.290754,0.30006,2025-05-15 00:15:00+00:00,2637.2,0.30385172269440075,5.715626101306914,0.011428966409331961,Long,Closed,19,LONG
20,0,0.19403309428456117,2025-05-15 12:30:00+00:00,2577.395376,0.30005999999999994,2025-05-15 12:35:00+00:00,2563.64,0.2984586010990034,-3.267516769426622,-0.006533726793494545,Long,Closed,20,LONG
21,0,0.19305019305019305,2025-05-15 16:50:00+00:00,2590.518,0.30006,2025-05-15 17:55:00+00:00,2571.54,0.29786177606177605,-4.261628339768345,-0.008521552369062877,Long,Closed,21,LONG
22,0,0.19344455105388592,2025-05-16 05:15:00+00:00,2585.2369439999998,0.30005999999999994,2025-05-16 07:25:00+00:00,2609.3,0.3028529202389427,4.051954144665636,0.00810228783176492,Long,Closed,22,LONG
23,0,0.19207793754393782,2025-05-16 09:05:00+00:00,2603.630622,0.30005999999999994,2025-05-16 11:00:00+00:00,2628.56,0.30293303010629585,4.185390480386895,0.00836910713934592,Long,Closed,23,LONG
24,0,0.1919901701032907,2025-05-16 13:00:00+00:00,2604.8208600000003,0.30006,2025-05-16 14:10:00+00:00,2589.2,0.2982605690588641,-3.5973721376186285,-0.0071933056141144334,Long,Closed,24,LONG
25,0,0.20059536704940265,2025-05-18 05:05:00+00:00,2493.078516,0.30006000000000005,2025-05-18 08:05:00+00:00,2522.85,0.3036432130563513,5.36831854752904,0.010734490197018675,Long,Closed,25,LONG
26,0,0.19796335302408818,2025-05-18 08:25:00+00:00,2526.2251439999995,0.30005999999999994,2025-05-18 09:40:00+00:00,2505.59,0.2976089986221751,-4.682671294996915,-0.009363469896014628,Long,Closed,26,LONG
27,0,0.19846782836502203,2025-05-18 13:35:00+00:00,2519.80386,0.30005999999999994,2025-05-18 13:55:00+00:00,2542.18,0.302724566347795,3.838159346643918,0.007674783736540528,Long,Closed,27,LONG
28,0,0.19407979008329904,2025-05-18 15:45:00+00:00,2576.7752520000004,0.30006,2025-05-18 16:20:00+00:00,2559.79,0.2980821035143968,-3.894636246186372,-0.007787714949382867,Long,Closed,28,LONG
29,0,0.1981728463565922,2025-05-19 21:55:00+00:00,2523.55461,0.30006,2025-05-19 22:00:00+00:00,2509.59,0.29839955609282415,-3.3658660680525587,-0.006730386058893339,Long,Closed,29,LONG
30,0,0.1965717880169838,2025-05-20 00:10:00+00:00,2544.1087199999997,0.30005999999999994,2025-05-20 00:30:00+00:00,2524.71,0.2977720553546155,-4.411073130995419,-0.008820382185553729,Long,Closed,30,LONG
31,0,0.19646442618635046,2025-05-21 01:30:00+00:00,2545.4989979999996,0.30005999999999994,2025-05-21 02:00:00+00:00,2525.37,0.2976872207749343,-4.552379262551042,-0.009102937937514582,Long,Closed,31,LONG
32,0,0.19501540621709115,2025-05-21 05:10:00+00:00,2564.41278,0.30006,2025-05-21 05:30:00+00:00,2591.4,0.303217754202582,4.659645916767414,0.009317428347865255,Long,Closed,32,LONG
33,0,0.1937608990505716,2025-05-21 14:55:00+00:00,2581.0161,0.30005999999999994,2025-05-21 15:10:00+00:00,2564.94,0.2981910482464638,-3.7131706374733358,-0.0074248563036859345,Long,Closed,33,LONG
34,0,0.1967465982513162,2025-05-21 22:50:00+00:00,2541.848268,0.30005999999999994,2025-05-21 23:00:00+00:00,2528.4,0.2984724594111767,-3.2444334407832276,-0.006487569367692917,Long,Closed,34,LONG
35,0,0.1962331092351226,2025-05-21 23:15:00+00:00,2548.499598,0.30006,2025-05-21 23:20:00+00:00,2572.05,0.3028328211649182,4.01847578703217,0.008035344505163307,Long,Closed,35,LONG
36,0,0.1911753460273763,2025-05-22 07:00:00+00:00,2615.92308,0.30005999999999994,2025-05-22 08:05:00+00:00,2641.0,0.3029364533149804,4.191092404985844,0.008380508708230042,Long,Closed,36,LONG
37,0,0.1866319282437562,2025-05-22 08:15:00+00:00,2679.605814,0.30005999999999994,2025-05-22 08:20:00+00:00,2662.18,0.2981086720391777,-3.8503819400762875,-0.007699224035345506,Long,Closed,37,LONG
38,0,0.18819774313266435,2025-05-22 19:05:00+00:00,2657.311356,0.30006,2025-05-22 19:35:00+00:00,2639.49,0.2980476366127417,-3.9520466153765774,-0.007902512728207514,Long,Closed,38,LONG
39,0,0.1886678540163613,2025-05-22 23:25:00+00:00,2650.690032,0.30006,2025-05-23 01:30:00+00:00,2679.59,0.30333149696622097,4.8491034467353735,0.009696267639942758,Long,Closed,39,LONG
40,0,0.18584942479603025,2025-05-23 01:35:00+00:00,2690.88807,0.30005999999999994,2025-05-23 01:45:00+00:00,2673.21,0.2980887245153976,-3.883607865519309,-0.007765662598518915,Long,Closed,40,LONG
